gene,GH,AN,MH,US,sum,max_PBE,max_PBE_pop
Zm00001d028947,1,1,1,1,4,1.45172385110875,AN
Zm00001d043831,1,1,1,1,4,1.45172385110875,AN
Zm00001d043832,1,1,1,1,4,1.45172385110875,AN
Zm00001d011785,1,1,1,1,4,1.45172385110875,AN
Zm00001d011786,1,1,1,1,4,1.45172385110875,AN
Zm00001d011787,1,1,1,1,4,1.45172385110875,AN
Zm00001d032768,1,1,1,1,4,1.4006716395275,AN
Zm00001d007185,1,1,1,1,4,1.4006716395275,AN
Zm00001d007186,1,1,1,1,4,1.4006716395275,AN
Zm00001d041173,1,1,1,1,4,1.4006716395275,AN
Zm00001d041179,1,1,1,1,4,1.4006716395275,AN
Zm00001d041180,1,1,1,1,4,1.4006716395275,AN
Zm00001d041746,1,1,1,1,4,1.4006716395275,AN
Zm00001d044682,1,1,1,1,4,1.4006716395275,AN
Zm00001d017801,1,1,1,1,4,1.4006716395275,AN
Zm00001d017802,1,1,1,1,4,1.4006716395275,AN
Zm00001d018626,1,1,1,1,4,1.4006716395275,AN
Zm00001d018627,1,1,1,1,4,1.4006716395275,AN
Zm00001d008355,1,1,1,1,4,1.4006716395275,AN
Zm00001d020460,1,1,1,1,4,1.39784481148173,US
Zm00001d026581,1,1,1,1,4,1.39306282282905,AN
Zm00001d026582,1,1,1,1,4,1.39306282282905,AN
Zm00001d026584,1,1,1,1,4,1.39306282282905,AN
Zm00001d006520,1,1,1,1,4,1.39306282282905,AN
Zm00001d048709,1,1,1,1,4,1.39306282282905,AN
Zm00001d052997,1,1,1,1,4,1.39306282282905,AN
Zm00001d013716,1,1,1,1,4,1.39306282282905,AN
Zm00001d037401,1,1,1,1,4,1.39306282282905,AN
Zm00001d027850,1,1,1,1,4,1.39107957412822,MH
Zm00001d041713,1,1,1,1,4,1.39107957412822,MH
Zm00001d041714,1,1,1,1,4,1.39107957412822,MH
Zm00001d041715,1,1,1,1,4,1.39107957412822,MH
Zm00001d042065,1,1,1,1,4,1.39107957412822,MH
Zm00001d042066,1,1,1,1,4,1.39107957412822,MH
Zm00001d014443,1,1,1,1,4,1.39107957412822,MH
Zm00001d009128,1,1,1,1,4,1.39107957412822,MH
Zm00001d046005,1,1,1,1,4,1.39107957412822,MH
Zm00001d034239,1,1,1,1,4,1.38576153387033,AN
Zm00001d024047,1,1,1,1,4,1.38576153387033,AN
Zm00001d002726,1,1,1,1,4,1.38576153387033,AN
Zm00001d006864,1,1,1,1,4,1.38576153387033,AN
Zm00001d012994,1,1,1,1,4,1.38576153387033,AN
Zm00001d012995,1,1,1,1,4,1.38576153387033,AN
Zm00001d011717,1,1,1,1,4,1.38576153387033,AN
Zm00001d011718,1,1,1,1,4,1.38576153387033,AN
Zm00001d011719,1,1,1,1,4,1.38576153387033,AN
Zm00001d030339,1,1,1,1,4,1.3769836171188,GH
Zm00001d042760,1,1,1,1,4,1.3769836171188,GH
Zm00001d042761,1,1,1,1,4,1.3769836171188,GH
Zm00001d034433,1,1,1,1,4,1.36769543193148,GH
Zm00001d024030,1,1,1,1,4,1.36769543193148,GH
Zm00001d024763,1,1,1,1,4,1.36769543193148,GH
Zm00001d001897,1,1,1,1,4,1.36769543193148,GH
Zm00001d001898,1,1,1,1,4,1.36769543193148,GH
Zm00001d001899,1,1,1,1,4,1.36769543193148,GH
Zm00001d002437,1,1,1,1,4,1.36769543193148,GH
Zm00001d002439,1,1,1,1,4,1.36769543193148,GH
Zm00001d002440,1,1,1,1,4,1.36769543193148,GH
Zm00001d003855,1,1,1,1,4,1.36769543193148,GH
Zm00001d004664,1,1,1,1,4,1.36769543193148,GH
Zm00001d042697,1,1,1,1,4,1.36769543193148,GH
Zm00001d042699,1,1,1,1,4,1.36769543193148,GH
Zm00001d043986,1,1,1,1,4,1.36769543193148,GH
Zm00001d043989,1,1,1,1,4,1.36769543193148,GH
Zm00001d048601,1,1,1,1,4,1.36769543193148,GH
Zm00001d048602,1,1,1,1,4,1.36769543193148,GH
Zm00001d048603,1,1,1,1,4,1.36769543193148,GH
Zm00001d048604,1,1,1,1,4,1.36769543193148,GH
Zm00001d013736,1,1,1,1,4,1.36769543193148,GH
Zm00001d015171,1,1,1,1,4,1.36769543193148,GH
Zm00001d015172,1,1,1,1,4,1.36769543193148,GH
Zm00001d015173,1,1,1,1,4,1.36769543193148,GH
Zm00001d015685,1,1,1,1,4,1.36769543193148,GH
Zm00001d038652,1,1,1,1,4,1.36769543193148,GH
Zm00001d038653,1,1,1,1,4,1.36769543193148,GH
Zm00001d038654,1,1,1,1,4,1.36769543193148,GH
Zm00001d038655,1,1,1,1,4,1.36769543193148,GH
Zm00001d021528,1,1,1,1,4,1.36769543193148,GH
Zm00001d021529,1,1,1,1,4,1.36769543193148,GH
Zm00001d045935,1,1,1,1,4,1.36769543193148,GH
Zm00001d045978,1,1,1,1,4,1.36769543193148,GH
Zm00001d045984,1,1,1,1,4,1.36769543193148,GH
Zm00001d027893,1,1,1,1,4,1.35402524340863,MH
Zm00001d031854,1,1,1,1,4,1.35402524340863,MH
Zm00001d031855,1,1,1,1,4,1.35402524340863,MH
Zm00001d031856,1,1,1,1,4,1.35402524340863,MH
Zm00001d024701,1,1,1,1,4,1.35402524340863,MH
Zm00001d024702,1,1,1,1,4,1.35402524340863,MH
Zm00001d024703,1,1,1,1,4,1.35402524340863,MH
Zm00001d026635,1,1,1,1,4,1.35402524340863,MH
Zm00001d026636,1,1,1,1,4,1.35402524340863,MH
Zm00001d026637,1,1,1,1,4,1.35402524340863,MH
Zm00001d026638,1,1,1,1,4,1.35402524340863,MH
Zm00001d026639,1,1,1,1,4,1.35402524340863,MH
